Subject ID	Accession	Description	Oligo 1 (FOR)	Oligo 2(REV)	Oligo 1(E-val)	Oligo 1(Query Percent)	Oligo 1(Start Location)	Oligo 1(End Location	Oligo 2(E-val)	Oligo 2(Query Percent)	Oligo 2(Start Location	Oligo 2(End Location
62781	AY576584	Hepatitis C virus isolate patient 7 clone 7 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
90053	AY308072	Hepatitis C virus polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
239257	EF108306	Hepatitis C virus QC69 subtype 7a, complete genome.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	2.17E+03	76.47	28	41	9.02E+00	71.43	351	365
62784	AY576587	Hepatitis C virus isolate patient 1 clone 2 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
62785	AY576588	Hepatitis C virus isolate patient 3 clone 1 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	2.20E+03	66.67	331	345
227336	KM043275	Hepatitis C virus strain 10025TF.UC2 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
62789	AY576592	Hepatitis C virus isolate patient 3 clone 5 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
73083	EF032894	Hepatitis C virus subtype 1b isolate BR1427_P7_3.1.04 polyprotein gene, complete cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	8.59E+03	52.94	6	14	9.02E+00	71.43	324	338
73082	EF032893	Hepatitis C virus subtype 1b isolate BR1427_P3_11.10.03 polyprotein gene, complete cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	8.59E+03	52.94	9	17	9.02E+00	71.43	327	341
73081	EF032892	Hepatitis C virus subtype 1b isolate BR1427_P1_10.7.03 polyprotein gene, complete cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	3	19	9.02E+00	71.43	329	343
78121	EU360321	Hepatitis C virus isolate HCV5UTR-MG07 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
208101	KF676352	Hepatitis C virus subtype 2a isolate PR63cc, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
208100	KF676351	Hepatitis C virus subtype 2a isolate PR63, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
220092	KJ439776	Hepatitis C virus isolate QC152, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	382	395
118764	HQ719473	Hepatitis C virus subtype 1b isolate Barcelona HCV1, partial genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
39910	AF207757	Hepatitis C virus subtype 1b strain MD16, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
33326	AF169002	Hepatitis C virus subtype 2a isolate NDM228, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
241596	KP666623	Hepatitis C virus clone 110069_5R_c2 polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
241591	KP666618	Hepatitis C virus clone 10025_5R_1_3 polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
241590	KP666617	Hepatitis C virus clone 10025_5R_1_2 polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
241593	KP666620	Hepatitis C virus clone 10025_5R_2_2_E1 polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
241592	KP666619	Hepatitis C virus clone 10025_5R_1_1 polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
5960	AB154203	Hepatitis C virus subtype 1b gene for polyprotein, partial cds, isolate: No. 28.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
3337	HPCJCG	Hepatitis C virus ORF gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
220097	KJ439781	Hepatitis C virus isolate QC74, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	382	395
220096	KJ439780	Hepatitis C virus isolate QC60, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
33692	DQ835761	Hepatitis C virus subtype 6j isolate C-0667, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	2.33E+02	68.42	398	411
19304	X65924	Hepatitis C Virus genomic RNA for capsid and envelope protein.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	8.59E+03	52.94	5	13	9.02E+00	71.43	323	337
5851	AB249644	Hepatitis C virus subtype 1b genomic RNA, complete genome, hiroshima acute hepatitis.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
96010	AY460204	Hepatitis C virus from Shanghai, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
194990	KC197230	Hepatitis C virus isolate PTR9415 polyprotein gene, complete cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	2.17E+03	76.47	2	15	2.75E+03	50	347	357
5911	AB426117	Hepatitis C virus subtype 1b genomic RNA, complete genome, hiroshima acute hepatitis, clone: HCV-KT1.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
5912	AB435162	Hepatitis C virus subtype 1b genomic RNA, complete genome, hiroshima acute hepatitis, clone: HCV-KT9.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
282492	KJ678764	Hepatitis C virus isolate GZ0366, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.13E+01	68.18	373	387
26472	AB520610	Hepatitis C virus subtype 1a genomic RNA, complete genome, strain: HCV-RMT.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
144446	JF735118	Hepatitis C virus isolate QC302, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	1.76E+02	59.09	372	384
80610	FJ207602	Hepatitis C virus isolate 86_293-M017 envelope glycoprotein E1 (E1) gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	8.58E+03	47.37	67	75	1.09E+04	45.45	82	91
192003	KC248194	Hepatitis C virus isolate 148636, complete genome.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	3.52E+01	94.12	26	42	1.13E+01	68.18	372	386
122224	HQ639942	Hepatitis C virus subtype 3a isolate WYHCV255 polyprotein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	8	24	1.89E-01	94.74	377	395
53245	AF009606	Hepatitis C virus subtype 1a polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
122223	HQ639941	Hepatitis C virus subtype 3a isolate WYHCV254 polyprotein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	8	24	5.61E+01	89.47	377	395
2099	HPCJK049E1	Hepatitis C virus (isolate JK049) genomic RNA, complete genome.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	3.52E+01	94.12	25	41	6.96E+02	54.55	371	382
253922	KM587623	Hepatitis C virus isolate J polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.25E+00	94.74	7	25	1.76E+02	59.09	372	384
253921	KM587622	Hepatitis C virus isolate I polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	3.52E+01	68.42	1	13	7.22E-01	77.27	364	380
253920	KM587621	Hepatitis C virus isolate H polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
253927	KM587628	Hepatitis C virus isolate O polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	17	26	2.33E+02	68.42	402	415
253926	KM587627	Hepatitis C virus isolate N polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	17	26	2.33E+02	68.42	402	415
253925	KM587626	Hepatitis C virus isolate M polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	351	365
253929	KM587630	Hepatitis C virus isolate Q polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	2.33E+02	68.42	398	411
253928	KM587629	Hepatitis C virus isolate P polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.76E+02	59.09	370	382
96374	AY746460	Hepatitis C virus genotype 2a polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
34501	AB622121	Hepatitis C virus gene for polyprotein, complete cds, isolate: HC10-0804.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	45.45	376	385
4195	HPCHCJ1	Hepatitis C virus genomic RNA, complete genome, isolate: HC-J1.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	381	394
220089	KJ439773	Hepatitis C virus isolate QC329, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	45.45	2819	2828
282519	KJ678791	Hepatitis C virus isolate TV487, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	17	26	2.33E+02	68.42	402	415
39928	AF208024	Hepatitis C virus subtype 1b strain MD34, complete genome.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	8.59E+03	70.59	15	27	9.02E+00	71.43	341	355
39926	AF207773	Hepatitis C virus subtype 1b strain MD32, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39927	AF207774	Hepatitis C virus subtype 1b strain MD33, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	6	15	1.67E+04	47.37	2482	2490
39924	AF207771	Hepatitis C virus subtype 1b strain MD30, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39925	AF207772	Hepatitis C virus subtype 1b strain MD31, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39922	AF207769	Hepatitis C virus subtype 1b strain MD28, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39923	AF207770	Hepatitis C virus subtype 1b strain MD29, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39920	AF207767	Hepatitis C virus subtype 1b strain MD26, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
39921	AF207768	Hepatitis C virus subtype 1b strain MD27, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
2046	HPCK1R3	Hepatitis C virus (strain HCV-1b, clone HCV-K1-R3), complete genome sequence.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
206209	KC844046	Hepatitis C virus subtype 5a isolate ZS631 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	1.13E+01	68.18	371	385
2044	HPCK1R1	Hepatitis C virus (strain HCV-1b, clone HCV-K1-R1), complete genome sequence.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
2045	HPCK1R2	Hepatitis C virus (strain HCV-1b, clone HCV-K1-R2), complete genome sequence.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
44908	EU408326	Hepatitis C virus isolate 537798 polyprotein precursor, gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	1.89E-01	94.74	393	411
44909	EU408327	Hepatitis C virus isolate 535318 polyprotein precursor, gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.13E+01	68.18	370	384
2040	HPCJK148B5	Hepatitis C virus isolate JK148 gene for core, env, and part of E2/NS1, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	8.59E+03	52.94	32	40	4.46E+01	77.27	374	391
206202	KC844039	Hepatitis C virus genotype 6 isolate ZS96 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	1.89E-01	94.74	393	411
206203	KC844040	Hepatitis C virus genotype 6 isolate ZS202 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	2.33E+02	68.42	398	411
206204	KC844041	Hepatitis C virus subtype 3a isolate ZS633 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	3.52E+01	89.47	7	25	1.89E-01	94.74	394	412
206205	KC844042	Hepatitis C virus subtype 2f isolate ZS542 polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	2.20E+03	52.38	356	366
2048	HPCK1S3	Hepatitis C virus (strain HCV-1b, clone HCV-K1-S3), complete genome sequence.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
2049	HPCK1S2	Hepatitis C virus (strain HCV-1b, clone HCV-K1-S2), complete genome sequence.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
66559	DQ155468	Hepatitis C virus strain D42 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	5.50E+02	82.35	1	15	1.13E+01	68.18	345	359
66558	DQ155467	Hepatitis C virus strain D41 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	5.50E+02	82.35	1	15	4.46E+01	90.91	345	366
66557	DQ155466	Hepatitis C virus strain D37 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	5.50E+02	82.35	1	15	9.02E+00	71.43	325	339
66556	DQ155465	Hepatitis C virus strain D36 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	5.50E+02	82.35	1	15	1.13E+01	68.18	348	362
66554	DQ155463	Hepatitis C virus strain D33 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	5.50E+02	82.35	1	15	4.02E+03	68.42	373	386
66553	DQ155462	Hepatitis C virus strain D32 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	5.50E+02	82.35	1	15	9.02E+00	71.43	325	339
66552	DQ155461	Hepatitis C virus strain D31 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	5.50E+02	82.35	1	15	1.13E+01	68.18	348	362
66551	DQ155460	Hepatitis C virus strain D29 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	5.50E+02	82.35	1	15	1.09E+04	59.09	353	366
225904	KJ567650	Hepatitis C virus isolate 6_TV548, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.09E+04	45.45	375	384
44798	EU541300	Hepatitis C virus isolate HCVUTR-MG29 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
225906	KJ567652	Hepatitis C virus isolate 6_TV566, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	4.46E+01	90.91	370	391
5949	AB154192	Hepatitis C virus subtype 1b gene for polyprotein, partial cds, isolate: No. 17.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
225900	KJ567646	Hepatitis C virus isolate 6_TV469, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	16	25	9.02E+00	71.43	350	364
225901	KJ567647	Hepatitis C virus isolate 6_VN214, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	351	365
225902	KJ567648	Hepatitis C virus isolate 6_TV453, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	4.46E+01	90.91	371	392
225903	KJ567649	Hepatitis C virus isolate 6_TV443, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.09E+04	45.45	375	384
44791	EU541293	Hepatitis C virus isolate HCVUTR-MG22 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	27	43	9.02E+00	71.43	353	367
44790	EU541292	Hepatitis C virus isolate HCVUTR-MG21 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
282509	KJ678781	Hepatitis C virus isolate SW11, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	1.13E+01	68.18	374	388
44792	EU541294	Hepatitis C virus isolate HCVUTR-MG23 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
44795	EU541297	Hepatitis C virus isolate HCVUTR-MG26 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
253918	KM587619	Hepatitis C virus isolate F polyprotein gene, complete cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	16	25	9.02E+00	71.43	351	365
44797	EU541299	Hepatitis C virus isolate HCVUTR-MG28 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
44796	EU541298	Hepatitis C virus isolate HCVUTR-MG27 5' UTR and polyprotein gene, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
241567	KP666594	Hepatitis C virus clone 9055_09_5R_FH7 polyprotein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	25	41	1.89E-01	94.74	394	412
1908	D88473	Hepatitis C virus genomic RNA for core, env and part of E2/NS1, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	17	26	2.33E+02	68.42	402	415
1909	D88474	Hepatitis C virus genomic RNA for core, env and part of E2/NS1, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.13E+01	68.18	370	384
1906	D88471	Hepatitis C virus genomic RNA for core, env and part of E2/NS1, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	16	25	4.02E+03	68.42	398	411
